cid,SMILES,AO,ROS,NRF2
5452,CN1CCCCC1CCN2C3=CC=CC=C3SC4=C2C=C(C=C4)SC,0,1,0
5505,CCCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)C,0,0,1
5756,C[C@]12CC[C@H]3[C@H]([C@@H]1C[C@H]([C@@H]2O)O)CCC4=C3C=CC(=C4)O,0,0,1
5757,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O,0,0,1
5870,C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CCC4=C3C=CC(=C4)O,0,0,1
5991,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=C3C=CC(=C4)O,0,0,1
6019,CC1=NC=C(C(=C1O)CO)CO.Cl,1,0,0
6048,C1CN=C(N1)CC2=CC=CC=C2.Cl,0,1,0
6075,CN1CCCC(C1)CN2C3=CC=CC=C3SC4=CC=CC=C42,0,1,0
6088,CNCCC1=CNC2=CC=CC=C21,0,0,0
6112,C1CSS[C@@H]1CCCCC(=O)O,1,0,0
6128,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CCC4=O)C,0,1,0
6549,CC(=CCCC(C)(C=C)O)C,1,0,0
6618,CC(C)(C1=CC(=C(C(=C1)Br)O)Br)C2=CC(=C(C(=C2)Br)O)Br,0,1,0
6687,C1CC(=N)C2=C(C3=CC=CC=C3C(=C2C1=N)O)O,0,1,0
6890,CN(C)CC1=CNC2=CC=CC=C21,0,0,0
6986,CC1CCC(C(=O)C1)C(C)C,1,0,0
6989,CC1=CC(=C(C=C1)C(C)C)O,1,0,0
6991,CC1=CC(=C(C=C1)[N+](=O)[O-])C,0,1,0
7136,CC(=O)OC1=C(C=C(C=C1)CC=C)OC,1,0,0
7144,CC1=CC(=C(C=C1)O)OC,1,0,0
7184,CCCCOC(=O)C1=CC=C(C=C1)O,0,0,1
7213,C1=CC(=C(C=C1O)O)C=O,1,0,0
7428,COC(=O)C1=CC(=C(C(=C1)O)O)O,1,0,0
7462,CC1=CC=C(CC1)C(C)C,1,0,0
7638,C1=CC=C(C=C1)COC2=CC=C(C=C2)O,0,1,0
8164,CCCCCCCCOC(=O)C,1,0,0
8357,COC1=CC(=CC(=C1OC)OC)C(=O)O,1,0,0
8398,CC1=CC(=C(C(=C1)C(C)(C)C)O)CC2=C(C(=CC(=C2)C)C(C)(C)C)O,0,1,0
8455,CCC(C)(C)C1=CC(=C(C=C1)O)C(C)(C)CC,0,1,0
8633,CC1CCC(C(C1)OC(=O)C2=CC=CC=C2N)C(C)C,0,1,0
8655,COC1=CC(=CC(=C1O)OC)C=O,1,0,0
8768,C1=CC(=C(C=C1C=O)O)O,1,0,0
8888,CC(=CCCC(=CCCC(C)(C=C)O)C)C,1,0,0
9015,COC1=CC=C(C=C1)O,0,1,0
9064,C1[C@@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,1,0,0
9305,C1=C(C=C(C(=C1I)O)I)C[C@@H](C(=O)O)N,0,0,1
9363,CCN(CC)C(=O)C1=CC(=C(C=C1)O)OC,0,0,1
9904,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=O)CC[C@H]34,0,1,0
9984,COC1=C(C=CC(=C1)C=CC=O)O,1,0,0
10154,CN1CCC2=CC(=C(C3=C2[C@@H]1CC4=CC(=C(C=C43)OC)O)OC)O,1,0,0
10168,C1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=C(C=C3O)C(=O)O,1,0,0
10205,CC1=CC(=O)C2=C(C1=O)C=CC=C2O,1,0,0
10206,CN1CCC2=CC3=C(C4=C2[C@@H]1CC5=CC=C(C=C5)OC6=C(C=CC(=C6)C[C@@H]7C8=CC(=C(C=C8CCN7C)OC)O4)OC)OCO3,1,0,0
10248,COC1=CC(=CC(=C1OC)OC)CC=C,1,0,0
10364,CC1=C(C=C(C=C1)C(C)C)O,1,0,0
10377,CCCCCC1=CC(=CC(=C1)O)O,1,0,0
10393,C1=CC(=CC=C1CCO)O,1,0,0
10522,CCOC(=O)C(C1=CC=C(C=C1)Cl)(C2=CC=C(C=C2)Cl)O,0,1,0
10621,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC3=CC(=C4C(=O)C[C@H](OC4=C3)C5=CC(=C(C=C5)OC)O)O)O)O)O)O)O)O,1,0,0
10742,COC1=CC(=CC(=C1O)OC)C(=O)O,1,0,0
10789,C1=CC=C(C(=O)C=C1)O,1,0,0
11874,C1=CC(=C(C(=C1C(=O)O)O)O)O,1,0,0
12038,CCOC(=O)C1=CC(=C(C=C1)O)OC,1,0,0
12041,CCOC(=O)C(=O)C,1,0,0
12122,C1=CC(=CC(=C1)O)CC(=O)O,1,0,0
12404,CCCCCCCCCCCCCCCCCCCCO,1,0,0
12580,CCCC1=CC=C(C=C1)O,0,0,1
12688,CCCC[Sn](CCCC)(Cl)Cl,0,1,0
13250,CCOC(=O)C1=CC(=C(C(=C1)O)O)O,1,0,0
13791,CCCCC(=O)O[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=C3C=CC(=C4)O)C,0,0,1
13801,CC(=O)C1(CCC2C1(CCC3C2CC(C4=CC(=O)CCC34C)C(F)(F)F)C)OC(=O)C,0,1,0
14340,COC1=C(C=CC(=C1)CCC(=O)O)O,1,0,0
14530,CC(=O)C1=CC(=C(C=C1)O)O,1,0,0
14677,CN1CCC(C1)CN2C3=CC=CC=C3SC4=CC=CC=C42,0,1,0
14749,CC1=C2C(=CC(=C1C(=O)O)O)C(=O)C3=C(C2=O)C(=C(C(=C3O)O)[C@@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O,1,0,0
14985,CC1=C(C2=C(CC[C@@](O2)(C)CCC[C@H](C)CCC[C@H](C)CCCC(C)C)C(=C1O)C)C,1,0,0
15096,CCCC[Sn](CCCC)(CCCC)Cl,0,1,0
15420,CCCCC1=CC=C(C=C1)O,0,0,1
16043,CC(C)(C)C1=C(C=CC(=C1)O)O,1,0,0
16251,COC1=C(C=C(C=C1)O)OC,1,0,0
16754,CN1CCC2=CC(=C(C3=C2[C@@H]1CC4=CC(=C(C=C43)OC)OC)OC)OC,1,0,0
16830,COC1=C(C=CC(=C1)C=CC(=O)OC)O,1,0,0
18189,CC(=O)NCCCC(=O)O,1,0,0
18283,CC1=CN(C(=O)NC1=O)[C@H]2C=C[C@H](O2)CO,1,0,0
19829,COC1=CC(=CC(=C1O)O)C(=O)O,1,0,0
19844,COC1=C(C=CC(=C1)C(=O)OC)O,1,0,0
23149,C[N+]1(CCC2=CC(=C(C3=C2[C@@H]1CC4=C3C(=C(C=C4)OC)O)O)OC)C.[Cl-],1,0,0
24667,CC(C)(C)C1=C(C=CC(=C1)O)OC.CC(C)(C)C1=C(C=CC(=C1)OC)O,1,0,0
25592,CCCCN(C(=N[N+](=O)[O-])N)N=O,0,1,0
26305,CC(C)([C@H]1CC2=C(O1)C=C3C(=C2)C=CC(=O)O3)O,1,0,0
26629,CCCCCCCCOC(=O)C1=CC=C(C=C1)N,0,0,1
26975,CCCCCC1=CC=C(C=C1)O,0,0,1
27815,C1=CC=C(C=C1)SC2=CC=C(C3=NON=C23)[N+](=O)[O-],0,1,0
27934,C1=CC=C2C(=C1)C(=CN2)CCC3=CC=NC=C3,0,0,0
29231,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC3=CC4=C(C=C(C=C4[O+]=C3C5=CC(=C(C=C5)O)O)O)O)O)O)O)O)O)O.[Cl-],1,0,0
31211,CC(=O)CCC1=CC(=C(C=C1)O)OC,1,0,0
31404,CC1=CC(=C(C(=C1)C(C)(C)C)O)C(C)(C)C,1,0,0
31553,COC1=C(C=CC(=C1)[C@@H]2[C@H](OC3=C(O2)C=C(C=C3)[C@@H]4[C@H](C(=O)C5=C(C=C(C=C5O4)O)O)O)CO)O,1,0,0
34359,C[C@](CC1=CC(=C(C=C1)O)O)(C(=O)O)NN,0,0,1
35960,COC1=CC(=CC(=C1O)OC)C=C,1,0,0
36302,C1CN(CC1C2=CC=CC=C2)CCC(=O)C3=CC4=C(C=C3)OCCO4.Cl,0,1,0
38853,C[C@](CC1=CC(=C(C=C1)O)O)(C(=O)O)N,0,0,1
40634,CC1=C(C2=C(CCC(O2)(C)C(=O)O)C(=C1O)C)C,1,0,0
61253,CCCCCCCCOC(=O)C1=CC(=C(C(=C1)O)O)O,1,0,0
62348,COC1=C(C=CC(=C1)CO)O,1,0,0
62389,C1=CC=C(C=C1)CNC2=NC=NC3=C2NC=N3,1,0,0
64819,CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)CCC(=O)OCC(COC(=O)CCC2=CC(=C(C(=C2)C(C)(C)C)O)C(C)(C)C)(COC(=O)CCC3=CC(=C(C(=C3)C(C)(C)C)O)C(C)(C)C)COC(=O)CCC4=CC(=C(C(=C4)C(C)(C)C)O)C(C)(C)C,1,0,0
64865,CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)CCC(=O)NN,0,0,1
64981,COC1=C(C=C(C=C1)C[C@H]2COC(=O)[C@@H]2CC3=CC(=C(C=C3)O)OC)OC,1,0,0
65064,C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O,1,0,0
65090,C1=CC(=O)OC2=C(C3=C(C=CO3)C=C21)O,1,0,0
65126,CC(C)C1=C(C(=C2C(=C1)CC[C@@H]3[C@@]2(CCCC3(C)C)C(=O)O)O)O,1,0,0
65238,C1=C(C=C(C(=C1O)O)O)C(=O)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC(=O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O)OC(=O)C5=CC(=C(C(=C5)O)O)O)OC(=O)C6=CC(=C(C(=C6)O)O)O,1,0,0
65329,C1CCN[C@H](C1)[C@H](C2=CC(=NC3=C2C=CC=C3C(F)(F)F)C(F)(F)F)O.Cl,1,0,0
65340,C1=CC(=C(C=C1CCN)O)O.Cl,0,0,1
65341,CCCC(C1=CC=CC=C1)(C2=CC=CC=C2)C(=O)OCCN(CC)CC.Cl,1,0,0
65373,COC1=C(C=CC(=C1)C[C@@H](CO)[C@@H](CC2=CC(=C(C=C2)O)OC)CO)O,1,0,0
65632,C1CSC(=O)C1NC(=O)CSCC(=O)O,1,0,0
66065,COC1=C(C=C2C(=C1O)[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)OC2=O)O,1,0,0
66069,CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)C(F)(F)F.Cl,0,0,0
66414,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=C(C=C34)OC)O,1,0,0
66461,CCCCC(CN1C=NC=N1)(C2=C(C=C(C=C2)Cl)Cl)O,1,0,0
68066,CC1=CC(=C(C(=C1C(=O)OC2=C(C(=C(C(=C2)C)C(=O)OC)O)C)O)C=O)O,1,0,0
68071,C1[C@H](OC2=CC(=CC(=C2C1=O)O)O)C3=CC=CC=C3,1,0,0
68171,CCCCCCCCCCCCCCCCCCCCCCCCCCO,1,0,0
68247,C1=CC(=C(C=C1C2=[O+]C3=CC(=CC(=C3C=C2O)O)O)O)O.[Cl-],1,0,0
68289,C1OC2=C(O1)C=C(C=C2)O,1,0,0
68486,CC(=CCC1=C(C=C2C(=C1)C=CC(=O)O2)OC)C,1,0,0
68570,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@H]2O)CCC4=C3C=CC(=C4)O,0,0,1
68929,C[C@]12CC[C@H]3[C@H]([C@@H]1C[C@@H]([C@@H]2O)O)CCC4=C3C=CC(=C4)O,0,0,1
70818,CC1=NC=C(C2=C1OC(OC2)(C)C)CO,0,0,1
70949,C1=CC(=C(C=C1O)C=O)O,1,0,0
72276,C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,1,0,0
72281,COC1=C(C=C(C=C1)[C@@H]2CC(=O)C3=C(C=C(C=C3O2)O)O)O,1,0,0
72300,C=CCC1=CC(=C(C=C1)O)C2=C(C=CC(=C2)CC=C)O,0,0,1
72323,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC(=C(C=C4CC3)O)OC)OC,1,0,0
72971,CCCCOC1=CC=C(C=C1)C(=O)O,0,0,1
73015,CCCCOC(=O)C1=CC(=O)NC(=O)N1,0,0,1
73057,C[C@H]1CC2=CC(=C(C(=C2C3=C(C(=C(C=C3C[C@H]1C)OC)OC)OC)O)OC)OC,1,0,0
73157,CCCCCC1=C(C(=CC2=C1OC3=CC(=CC(=C3C(=O)O2)C(=O)CCCC)OC)O)C(=O)O,0,0,1
73201,COC1=CC(=C2C(=O)C[C@H](OC2=C1)C3=CC=CC=C3)O,1,0,0
73337,C[N+]1(CCC2=CC(=C(C3=C2[C@@H]1CC4=C3C(=C(C=C4)OC)O)O)OC)C,1,0,0
73384,C1C2=CC(=C(C=C2[C@H]3[C@@]1(COC4=C3C=CC(=C4)O)O)O)O,1,0,0
73432,CC1=C(C(=O)C[C@]2([C@H]1C[C@@H]3[C@]45[C@@H]2[C@H]([C@@H]([C@]([C@@H]4[C@H](C(=O)O3)OC(=O)C=C(C)C)(OC5)C(=O)OC)O)O)C)O,1,0,0
73571,COC1=CC(=C2C(=O)C[C@H](OC2=C1)C3=CC=C(C=C3)O)O,1,0,0
74370,CC1=C(C(=C(C(=C1CC2=CC(=C(C(=C2)C(C)(C)C)O)C(C)(C)C)C)CC3=CC(=C(C(=C3)C(C)(C)C)O)C(C)(C)C)C)CC4=CC(=C(C(=C4)C(C)(C)C)O)C(C)(C)C,1,0,0
75390,CCN(CC)C1=CC(=C(C=C1)N=C2C=CC(=O)C3=CC=CC=C23)C,0,1,0
75766,CCCCC(=O)C1=CC=C(C=C1)O,0,0,1
76596,CCCCCC(=O)C1=C(C=C(C=C1)O)O,0,0,1
77547,CCOC(=O)C1=CC(=C(C=C1)O)O,1,0,0
81131,CC(=O)C1=CC2=C(C=C1)SC3=CC=CC=C3N2,1,1,0
81704,CCOC(=O)C1=C(OC2=C1C=C(C=C2)O)C,0,0,1
82755,C1=CC(=C(C=C1CCO)O)O,1,0,0
83264,CCOC(=O)C(=CNC1=CC=CC(=N1)C)C(=O)OCC,1,0,0
83489,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC3=CC(=C4C(=O)C[C@H](OC4=C3)C5=CC(=C(C=C5)O)O)O)O)O)O)O)O)O,1,0,0
84976,CCCCN=C(N)N=C(N)N.Cl,1,0,0
86472,CC1=C(C(=C(C2=C1O[C@](CC2)(C)CCC[C@H](C)CCC[C@H](C)CCCC(C)C)C)OC(=O)C)C,1,0,0
87500,CCCCCCOC(=O)C1=CC=CC=C1N,0,0,1
89287,C[N+](C)(C)CCOC(=O)C=CC1=CC(=C(C(=C1)OC)O)OC,1,0,0
90531,CCCCCOC(=O)C1=CC=CC=C1C(=O)O,0,0,1
91401,CC(=O)C1=CC2=C(C=C1)SC3=CC=CC=C3N2C,1,1,0
92094,CC1=CC(=CC2=C1O[C@](CC2)(C)CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O,1,0,0
92732,CN1CCC2=CC(=C(C=C2C1CC3=CC(=C(C=C3)OC)O)OC)OC,0,0,1
92775,C1[C@H](OC2=C(C1=O)C=CC(=C2)O)C3=CC(=C(C=C3)O)O,1,0,0
93009,CC(=O)O[C@@H]1C[C@@H]2CC[C@]1(C2(C)C)C,1,0,0
94330,CCCCCCCC(=O)OCC(=O)[C@]1(CC[C@@H]2[C@@]1(C[C@@H]([C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)O)C)O,0,0,1
94986,CCN(CC)CC1=CC(=C(C=C1O)CN(CC)CC)O,0,1,1
95699,CN(C)CC1=CC(=C(C=C1O)CN(C)C)O,0,1,0
96335,C1=CC=C(C(=C1)N=CC=NC2=CC=CC=C2O)O,0,1,0
97765,C1=CC=C(C=C1)C(=O)C=CC2=CC=CC=C2O,1,0,0
98348,CN1CCC2=CC(=C(C=C2C1CC3=CC=C(C=C3)O)OC)OC,0,0,1
98882,CCCCCC1CCC(CC1)C(=O)O,0,0,1
99479,CC1=C(C2=C(CCC(O2)(C)C)C(=C1O)C)C,1,0,0
99622,COC1=CC(=CC(=C1O)O)C(=O)OC,1,0,0
100028,CCC(C)C1=CC(=C(C=C1)O)N,0,0,1
100530,CC1=CC(=C(C(=C1)N)O)C,0,0,1
100659,CCCCCCCCCCCCCC1=C(C(=O)C=C(C1=O)O)O,1,0,0
100780,CC1=CC2=C(C(=CC=C2)O)C(=C1C(=O)C)O,1,0,0
101712,COC1=C(C=C(C=C1)[C@H]2[C@H]3CO[C@@H]([C@H]3CO2)C4=CC(=C(C=C4)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)OC)OC,1,0,0
101781,C1[C@H](OC2=C(C1=O)C=CC(=C2O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)C4=CC(=C(C=C4)O)O,1,0,0
107905,C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O,1,0,0
107957,C1[C@@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O.O,1,0,0
107982,CC(C)CCCCCCC(=O)NCC1=CC(=C(C=C1)O)OC,1,0,0
108003,C[C@H]1CCCC(=O)CCCCCC2=C(C(=CC(=C2)O)O)C(=O)O1,0,0,1
108052,C[C@@]12CCC3=C([C@H]1CC[C@]45[C@H]2CC[C@H](C4)[C@](C5)(CO)O)C=CO3,1,0,0
108494,CN1CCCCC1CN2C3=CC=CC=C3SC4=CC=CC=C42,0,1,0
109673,CC1=C(C=CC(=C1)N)N2CCCC2.Cl,0,1,0
110964,C1=CC=C2C3C=CC(C2=C1)C=C3,0,0,0
112580,CCC(=O)NC1=CC2=C(C=C1)C(CC(N2CC)(C)C)C,0,1,0
113919,CCN1CCCC(C1)CN2C3=CC=CC=C3SC4=CC=CC=C42,0,1,0
113920,CC(C)N1CCCC(C1)CN2C3=CC=CC=C3SC4=CC=CC=C42,0,1,0
114776,C1=CC(=C(C=C1C2=CC(=O)C3=C(O2)C=C(C(=C3O)[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O)O,1,0,0
114777,C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=O)C(=C4C(=C3)C(=CC(=C4O)O)[C@@H]5[C@@H](CC6=C(C=C(C=C6O5)O)O)O)O)O,1,0,0
114778,C[C@@]12C=CC3=C([C@H]1CC[C@]45[C@H]2CC[C@H](C4)[C@](C5)(CO)O)C=CO3,1,0,0
115116,C[C@]12CC[C@H]3[C@H]([C@@H]1C[C@H](C2=O)O)CCC4=C3C=CC(=C4)O,0,0,1
115149,C=C[C@@H]1[C@@H]2CCOC(=O)C2=CO[C@H]1O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)OC(=O)C4=C(C=C(C=C4O)O)C5=CC(=CC=C5)O,1,0,0
119034,C[C@@H]1CC[C@@]2(CC[C@@]3(C(=CC[C@H]4[C@]3(CC[C@@H]5[C@@]4(C[C@H]([C@@H]([C@@]5(C)CO)O)O)C)C)[C@@H]2[C@H]1C)C)C(=O)O,1,0,0
119193,CCCCCCOC1=C(C(=C(C(=C1)C)O)C)C,1,0,0
119258,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](OC3=CC(=CC(=C3C2=O)O)O)C4=CC(=C(C=C4)O)O)O)O)O,1,0,0
120742,COC1=C(C=C2C(=C1O)C(=O)C=C(O2)C3=CC(=C(C=C3)O)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O,1,0,0
122297,CC(=O)OC1=CC2=C(C=C1)C3(C4=C(C=C(C=C4)CCl)C(=O)O3)C5=C(O2)C=C(C=C5)OC(=O)C,0,1,0
122298,CCC1=C(C=CC(=N1)C)O.C(CC(=O)O)C(=O)O,1,0,0
122724,CC1=C(C(=O)C=C2C1=CC=C3[C@]2(CC[C@@]4([C@@]3(CC[C@@]5([C@H]4C[C@](CC5)(C)C(=O)O)C)C)C)C)O,1,0,0
122738,C1[C@H]([C@H](OC2=C1C(=CC(=C2[C@@H]3[C@H]([C@H](OC4=CC(=CC(=C34)O)O)C5=CC(=C(C=C5)O)O)O)O)O)C6=CC(=C(C=C6)O)O)O,1,0,0
122850,C1=CC(=CC=C1[C@@H]2[C@H](C(=O)C3=C(C=C(C=C3O2)O)O)O)O,1,0,0
124025,C1[C@H]([C@H](OC2=C1C(=CC3=C2[C@@H]4[C@H]([C@](O3)(OC5=CC(=CC(=C45)O)O)C6=CC(=C(C=C6)O)O)O)O)C7=CC(=C(C=C7)O)O)O,1,0,0
124034,COC1=C(C(=C2C(=C1)OC(=CC2=O)C3=CC=C(C=C3)O)O)[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O,1,0,0
124052,CC1(C=CC2=C(O1)C=CC3=C2OC[C@H](C3)C4=C(C=C(C=C4)O)O)C,1,0,0
124062,CC1=C(C=C2C(=C1O)C(=O)C3=CC=CC=C3C2=O)O,1,0,0
124072,COC1=C(C=CC(=C1)CCC(=O)CC(=O)CCC2=CC(=C(C=C2)O)OC)O,1,0,0
126280,CN[C@@H]1C[C@H](C2=CC=CC=C12)C3=CC(=C(C=C3)Cl)Cl,0,0,0
127053,CCC(C)N1CCCCC1C(=O)NC2=C(C=C(C=C2C)C)C.Cl,0,0,1
128001,C1C(=O)COC2=C(C=CC(=C2)O)C3=CC(=C(C=C31)O)O,1,0,0
134896,CCOC(=O)C1=C(SC2=C1CCN(C2)CC3=CC=CC=C3)N.Cl,1,0,0
140917,C1=CC(=C(C=C1CC2=CC(=C(C=C2)N)O)O)N,0,0,1
145726,C1=CC=C2C(=C1)C(=O)C=C(O2)C3=CC(=C(C=C3)O)O,1,0,0
146798,C1[C@@H]([C@H](OC2=C1C(=CC(=C2[C@H]3[C@@H]([C@H](OC4=CC(=CC(=C34)O)O)C5=CC(=C(C=C5)O)O)O)O)O)C6=CC(=C(C=C6)O)O)O,1,0,0
148177,CCCCCCCCCCCCCCCCCCOP(=O)([O-])OC1CC[N+](CC1)(C)C,1,0,0
150736,CCOC1=C(C(=O)O[C@@H]1[C@H](CO)O)O,1,0,0
151922,C1=CC=C(C=C1)CCCCCCCCCCCC(=O)O,0,0,1
155011,CC1=CC2=C(C(=C1O)OC)C(=O)C3=C(C(=C(C=C3C2=O)O)OC)O,1,0,0
155240,CC(=O)OCCC1=CC(=C(C=C1)O)O,1,0,0
158845,COC1=C(C(=CC=C1)OC)C(=O)OCC2=C(C=CC(=C2)O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O,1,0,0
159278,C1=CC(=CC=C1CCO[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O,1,0,0
159654,CN1CCC2=CC(=C(C=C2[C@H]1CC3=CC=C(C=C3)OC)OC4=C(C=CC(=C4)C[C@@H]5C6=CC(=C(C=C6CCN5C)OC)OC)O)OC,1,0,0
160562,COC1=C(C=C(C=C1)CC(=O)O)O,0,0,1
161464,COC1=CC(=CC(=C1O)OC)C(=O)OCCCCN=C(N)N,1,0,0
161557,C1=C(C=C(C(=C1O)O)O)[C@@H]2[C@H](C(=O)C3=C(C=C(C=C3O2)O)O)O,1,0,0
