cid,SMILES,stat,mtor,nfkb
4485,CC1=C(C(C(=C(N1)C)C(=O)OC)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC,0,0,1
5339,C1=CC=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N=NC3=CC(=C(C=C3)O)C(=O)O,0,1,0
6001,CC1=C2C=CC3=CC=CC=C3C2=C(C4=CC=CC=C14)C,0,0,1
6014,CC(CN1C2=CC=CC=C2SC3=CC=CC=C31)N(C)C.Cl,0,0,1
6758,CC(=C)[C@H]1CC2=C(O1)C=CC3=C2O[C@@H]4COC5=CC(=C(C=C5[C@@H]4C3=O)OC)OC,0,1,0
6825,C1=CC=C2C(=C1)C=CC(=C2N=NC3=CC=CC=N3)O,0,1,0
7541,C1=CC=C(C(=C1)NC2=NC(=NC(=N2)Cl)Cl)Cl,0,0,1
8323,C1=CC=C2C(=C1)C(=O)C3=C(C=CC(=C3C2=O)O)N,0,1,0
8478,CC(C)(C)CC(C)(C)C1=CC=C(C=C1)OCCOCC[N+](C)(C)CC2=CC=CC=C2.[Cl-],0,0,1
9117,C1=CC2=C3C(=C1)C4=CC=CC5=C4C6=C(C=C5)C=CC(=C36)C=C2,0,0,1
9128,C1=CC=C2C(=C1)C3=CC=CC4=C3C5=C(C=CC=C25)C=C4,0,0,1
9153,C1=CC=C2C3=C4C(=CC=C3)C5=CC=CC=C5C4=CC2=C1,0,0,1
9158,C1=CC=C2C=C3C4=CC=CC5=C4C(=CC=C5)C3=CC2=C1,0,0,1
10709,C1=CC(=C(C=C1C(=O)O)[N+](=O)[O-])[N+](=O)[O-],0,1,0
12888,C1=CC=C(C=C1)C2=NN=C(O2)C3=CC=CC=C3,0,0,1
20085,CC(=O)NC1=CC=C(C=C1)N=NC2=CC=CC=C2,0,0,1
22694,CCN(CC)CCNC(=O)C(=C1C(=C(C(=C1Cl)Cl)Cl)Cl)Cl,0,1,0
22797,C1=CC=C(C=C1)C=CC2=CN=NC3=CC=CC=C32,0,1,0
23702,CCC(C(C1=CC(=C(C=C1)O)O)O)NC(C)C.CS(=O)(=O)O,0,0,0
24352,CCC(=O)C1=CC2=C(C=C1)SC3=CC=CC=C3N2CCCN(C)C,0,1,0
30897,CC1=CC=CC=C1C2=NN=C(O2)C3=CC=CC=C3C,0,0,1
37459,CC(C)(C)[C@@]1(CCN2C[C@H]3C4=CC=CC=C4CCC5=C3C(=CC=C5)[C@@H]2C1)O,0,1,0
39508,CCOC(=O)CC1=CC2=C(C=C1)SC(=N2)C3=CC=CC=C3,0,1,1
55993,CN1C[C@H](C2=C(C1)C(=CC=C2)N)C3=CC=CC=C3,0,0,1
60663,CC(C)[C@H]1C2=C(CC[C@@]1(CCN(C)CCCC3=NC4=CC=CC=C4N3)OC(=O)COC)C=C(C=C2)F,0,1,0
62253,CCCCCCCCCC[N+](C)(CCCCCCCCCC)CCC[Si](OC)(OC)OC.[Cl-],0,0,1
64971,CC(=C)[C@@H]1CC[C@]2([C@H]1[C@H]3CC[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O)C)C(=O)O,0,0,1
66532,CC(C)(C)C1=CC2=C(C=C1)C(=O)C3=CC=CC=C3C2=O,0,0,1
68497,CC1=CC=C(C=C1)NC(=O)C2=CC=CC=C2,0,0,1
70799,C1=CC=C2C(=C1)C(=CS2)CC(=O)O,0,1,0
71412,CC(CCC1=CC=CC=C1)NCC(C2=CC(=C(C=C2)O)C(=O)N)O.Cl,0,0,0
72326,CC(=C)[C@@H]1CC[C@]2([C@H]1[C@H]3CC[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O)C)CO,0,1,1
81124,C1=CC=C(C=C1)NC2=CC(=O)C3=CC=CC=C3C2=O,0,0,1
81493,CC1=CC(=CC=C1)NCCNC2=CC=CC(=C2)C,0,1,0
85380,CCCCCCCCNS(=O)(=O)C1=CC=CC=C1,0,1,0
93572,C1=CC=C2C(=C1)C=CC(=C2N=NC3=NC=CS3)O,0,1,0
95707,CC(=O)NC1=CC2=C(C=C1)C(=O)C3=CC=CC=C3C2=O,0,0,1
97900,C1=CC=C(C=C1)C(=O)C=CC2=CC=CC=C2Cl,0,1,0
98059,C1=CC=C(C(=C1)C=CC(=O)C2=CC=CC=C2O)O,0,1,0
102928,COC1=CC=C(C=C1)C2CC(=O)C3=CC=CC=C3O2,0,0,1
107969,CCCCCCCCC1=CC=C(C=C1)CCC(CO)(CO)N.Cl,1,0,0
133012,CCCN1C(=O)C2=C(N=C(N2)C3CCCC3)N(C1=O)CCCOC(=O)C4=CC=C(C=C4)S(=O)(=O)F,0,0,1
144053,CC1(N(C2=CC=CC3=C2C(=CC=C3)N1C)C)C,0,0,1
148177,CCCCCCCCCCCCCCCCCCOP(=O)([O-])OC1CC[N+](CC1)(C)C,1,0,0
151814,C1=CSC(=C1)C(=O)CCC(=O)C2=CC=CS2,0,0,1
157619,C1=CC=C(C=C1)C(CSCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N)O,0,1,0
176096,COC1=CC(=CC(=C1O)OC)CCC2=CC(=C(C=C2)O)OC,0,0,1
185146,CN(C)CCCN1C(=O)C2=C3C(=C(C=C2)[N+](=O)[O-])C=CC=C3C1=O,0,0,1
185376,CC1=C(C(=CC=C1)C)OC[C@H](C)N,0,0,1
188323,COC1=C(C(=C2C(=C1)OC(=CC2=O)C3=CC=C(C=C3)O)O)OC,0,1,0
203685,CC(C)NC[C@H](COC1=CC=CC=C1CC=C)O,0,0,1
220490,CN(C)C1=CC=C(C=C1)C(C2=CC=C(C=C2)N(C)C)C3=CC=C(C=C3)[N+](=O)[O-],0,1,0
220850,COC1=CC(=C(C=C1)OC)NC(=O)C(=CC2=CC=CO2)C#N,0,1,0
220926,COC1=CC=C(C=C1)NC2=NC3=CC=CC=C3S2,0,0,1
223009,COC1=CC=CC=C1CC(CC(=O)O)C(=O)O,0,0,1
225916,COC1=CC=CC=C1C=CC2=CC=NC3=CC=CC=C23,0,0,1
233113,COC1=C(C=CC(=C1)C=C2C(=O)NC(=O)S2)O,1,0,1
236781,C1=CC(=CC=C1OCC(=O)O)S(=O)(=O)C2=CC=C(C=C2)OCC(=O)O,0,1,0
240703,CC(=O)NC1=C(C=C2C3=CC=CC=C3OC2=C1)[N+](=O)[O-],0,1,0
248690,C1=CC=C(C(=C1)CSC2=CN=NC3=C2C=C(C=C3)F)Cl,0,1,0
252481,CN(C)C1=CC(=C(C=C1)[N+](=O)[O-])[N+](=O)[O-],0,1,0
253089,COC1=C(C=C(C=C1)C=CC(=O)C2=C(C=C(C=C2OC)OC)OC)OC,0,1,0
255021,CC(=O)NC1=C(C=C(C=C1)N=NC2=CC=CC=C2)[N+](=O)[O-],0,1,0
259997,CC1=CC=C(C=C1)C2=NN=C(O2)C3=CC=CC=C3,0,0,1
259998,CC1=CC(=CC=C1)C2=NN=C(O2)C3=CC=CC=C3,0,1,0
259999,CC1=CC=CC=C1C2=NN=C(O2)C3=CC=CC=C3,0,0,1
263872,C1=CC=NC(=C1)NN=CC2=CC(=CC=C2)O,0,1,0
269062,CC1=C(C=C(C=C1)[N+](=O)[O-])NC(=O)C2=CC=CC=C2,0,1,0
270482,C1=CC=C2C=C(C=CC2=C1)C(=O)C=CC3=CC=CO3,0,1,0
274053,C1=CC=C(C(=C1)C=NN=CC2=CC(=CC=C2)[N+](=O)[O-])O,0,1,0
274055,C1=CC=C(C(=C1)C=CC=NN=CC2=CC=CC=C2O)[N+](=O)[O-],0,1,0
274061,C1=CC=C2C(=C1)C=CC(=C2C=NN=CC3=CC=CC=C3O)O,0,1,0
279091,C1=CC2=C3C(=C1)NN=NC3=CC=C2,0,0,1
280101,CC(=O)NC1=CC=C(C=C1)S(=O)(=O)C2=C3C=CC(=CC3=NC=C2)Cl,0,1,0
288131,COC1=CC(=C(C=C1)NC2=CC(=CC=C2)Cl)C(=O)O,0,0,1
288577,C1=CC=C2C(=C1)C(=O)N(C2=O)CCC3=CNC4=CC=CC=C43,0,0,1
292804,COC1=CC=C(C=C1)NC(=O)NC2=CC=CC=C2F,0,0,1
297345,CN(C1=NC2=CC=CC=C2C=C1)N=CC3=CC=CC=C3O,0,1,0
300570,C1=CC=C(C(=C1)C2NC3=CC=CC=C3C(=O)N2)Cl,0,1,0
300907,C1=CC=C(C=C1)C(=O)CC(C2=CC(=CC=C2)[N+](=O)[O-])SC3=CC=CC=C3N,0,1,0
306548,C1=CC(=CC(=C1)C(=O)NC2=CC(=CC=C2)[N+](=O)[O-])C(=O)NC3=CC(=CC=C3)[N+](=O)[O-],0,1,0
306831,C1=CC(=CC(=C1)F)NC(=O)C2=CC=CO2,0,1,0
308065,C1=COC(=C1)C(=O)NC2=CC(=C(C=C2)Cl)Cl,0,1,0
310139,COC1=C(C=C(C=C1)Cl)NC(=O)C2=CC=CO2,0,1,0
312145,CC(=O)O[C@@H]1C[C@]2([C@@H](CCC2=O)C3=C1[C@]4([C@H](OC(=O)C5=COC(=C54)C3=O)COC)C)C,0,1,0
323616,CCC(=O)NC1=C(C(=O)C(=C(C1=O)Cl)NC(=O)CC)Cl,0,1,0
324461,CCCCC(=O)NC1=NC=C(S1)[N+](=O)[O-],0,0,1
325430,CC1=C2C(=NN=C(C2=NN1)CC3=CC=CO3)C,0,1,0
329337,CC1=C2C(=CC=C1)C(=O)N(C(=N2)N)C(=O)C3=CC=CC=C3,0,1,0
332219,C1=CC=C(C=C1)COC2=CC=C(C=C2)C=NC3=CC=C(C=C3)O,0,1,0
333773,COC(=O)C1=CC(=O)N=C(S1)NN=CC2=CC=CO2,0,1,0
338564,C1=CC=C(C(=C1)C=NC2=C3C(=C(C=C2)F)C(=O)NN3)O,0,1,0
339701,COC1=NC2=C(C=C1)NC3=NC4=CC=CC=C4N=C3S2,0,0,1
339730,CC1=CC(=O)N2C(=N1)C=C(N2)C3=CC=C(C=C3)C(C)(C)C,0,0,1
346767,C1=CC=C(C=C1)NC(=O)OCCOC2=CC=CC=C2,0,0,1
350421,C1=CC=C2C(=C1)C(=O)C(C2=O)C3=CC=C(C=C3)O,0,0,1
359838,C1=CC=C(C=C1)C2=CC(=NC(=N2)N)C3=CC=CC=C3O,0,1,0
360991,CN(CC1=CC(=CC(=C1)Cl)Cl)CC(C2=CC=CC=C2)C(=O)C3=CC=CC=C3,0,1,0
361939,CCCCCCCCCCCCC(=O)CCCCC(=O)O,1,0,0
367221,C1C2=CC=CC=C2C(=O)C1=CC3=CC(=CC=C3)Cl,0,1,0
370319,COC1=CC(=CC(=C1OC)OC)C=C2CC3=CC=CC=C3C2=O,0,1,0
378297,C1CC(=O)N(C1=O)C2=C(C=C(C=C2)Cl)N,0,1,0
382090,C1=CC=C(C(=C1)N2N=C3C=CC4=NON=C4C3=N2)O,0,1,0
387075,CC(=NNC1=CN=NC2=C1C=C(C=C2)[N+](=O)[O-])C,0,1,0
392787,CC(=NNC1=NC2=CC=CC=C2S1)C3=NC=CC=N3,0,1,0
394278,COC1=CC=C(C=C1)OCC2=NC3=CC=CC=C3N2,0,0,1
398293,CN(C)C(=O)OC1=CC=C(C=C1)C2=CN3C=C(C=CC3=N2)Cl,0,0,1
439647,CC1=CC=C(C=C1)S(=O)(=O)N[C@@H](CC2=CC=CC=C2)C(=O)CCl,0,0,1
445643,C[C@@H]1C[C@@H]([C@@H]2[C@H](C[C@H]([C@@](O2)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@@H]([C@H](CC(=O)[C@@H](/C=C(/C1)\C)CC=C)O)C)/C(=C/[C@@H]4CC[C@H]([C@@H](C4)OC)O)/C)O)C)OC)OC,0,1,0
446378,CCCCCCCC(=O)O[C@H]1[C@H]2C(=C([C@@H]1OC(=O)/C(=C\C)/C)C)[C@H]3[C@]([C@H](C[C@]2(C)OC(=O)C)OC(=O)CCC)([C@](C(=O)O3)(C)O)O,0,1,0
448912,CCCCC1=C(NC2=NC=CN=C12)C3=CC=C(C=C3)O,1,0,1
496451,C12C(C(=O)C3=C(SC(=C31)Cl)Cl)OC(=O)N2,0,1,0
511526,C1=CC=C2C(=C1)C(=C(N2)O)N=NC(=O)C3=CC=CS3,0,0,1
536451,CC(C)S(=O)(=O)C1=C(SC(=C1)C(=O)OC)S(=O)C,0,1,0
568416,CC1=C(C=CC(=C1)Cl)OCCCC(=O)NO,0,1,1
570011,CC1=CC(=NC(=C1C#N)SCC(=O)C2=CC=CC=C2)C,0,1,0
570111,CC1=CC=C(S1)NC(=O)C2=CC=CC=C2,0,0,1
570162,CC1=C(SC(=C1)NC(=O)C2=CC=CC=C2)C,0,0,1
570245,C1=CC=C(C=C1)C2=NC(=C(O2)O)C=NC3=CC=CC=C3,0,1,0
572920,CN1C(=CC=N1)C(=O)NC2=CC=CC=C2C(=O)O,0,1,0
573742,C1=CSC(=C1)C(=O)NC2=CC3=NSN=C3C=C2,0,1,0
573756,C1=CSC(=C1)C(=O)NC2=C(C=CC(=C2)[N+](=O)[O-])F,0,1,0
574171,C1=CC=C2C(=C1)NC(=N2)SCC(=O)C3=CC=CS3,0,0,1
577329,C1=CC=C(C=C1)C2=NN=C(O2)C3=CC(=CC=C3)[N+](=O)[O-],0,1,0
579006,COC1=CC=C(C=C1)NC(=O)CN2N=C(N=N2)C3=CC=CC=C3F,0,1,0
579557,C1=CC=C(C=C1)CCNC(=O)C2=CC=CC=C2F,0,0,1
590551,CCC1=CC=CC=C1NC(=O)C2C(C2(Cl)Cl)C3=CC=CC=C3,0,1,0
590707,C1=CC=C2C(=C1)C(=CN2)SCC(=O)O,1,0,0
591403,C1=CC=C(C=C1)CC(=O)NC2=NC3=CC=CC=C3S2,0,0,1
594394,CC1=NC2=CC=CC=C2C=C1O,1,0,0
603661,CCCCCCC1=CC=C(C=C1)C2=NC=C(C=N2)N,0,1,1
610612,CCOC(=O)N=NC1=C2C(=NC3=NONC3=N2)C4=CC=CC=C41,1,0,0
611207,C1=CC=C(C=C1)CCNC2=C3C=NN(C3=NC=N2)C4=CC=CC=C4,0,0,1
614249,COC1=C(C=CC(=C1)SC)C(=O)NCCOC2=CC=CC=C2Cl,0,0,1
614255,CC1=NC2=NC(=CN2N=C1C)C3=CC=CC=C3,0,0,1
626145,C1=CC=C2C(=C1)C=CC(=C2C=NC3=CC=C(C=C3)[N+](=O)[O-])O,0,1,0
627326,C1=CC=C2C(=C1)C(=O)C3=C(C=CC(=C3C2=O)Br)N,0,1,0
628678,C1=CC=C(C=C1)CNC(=O)C2=C(C(=C(N=C2Cl)Cl)Cl)Cl,0,1,0
628838,CCOC1=CC(=CC(=C1O)N=NC2=CC(=CC=C2)[N+](=O)[O-])C=O,0,1,0
636489,CC1=C2[C@@H]([C@@H]3[C@@H]([C@@H](C1)OC(=O)C(=C)C)C(=C)C(=O)O3)C(=CC2=O)C,0,1,1
636595,CC(=C)[C@@H]1CC[C@]2([C@H]1[C@H]3CC[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)OC(=O)/C=C/C6=CC(=C(C=C6)O)OC)C)C(=O)O,0,1,1
644213,C1=CC=C(C=C1)NC(=O)C2=C(C=CC(=C2)[N+](=O)[O-])Cl,0,1,0
644436,CC1=CC=CC=C1C2=NC3=C(O2)C=CC(=C3)N,0,0,1
644784,C1=CC=C(C=C1)CC2=NN=C(S2)NC(=O)C3=CC=CS3,0,1,0
644793,COC1=CC=C(C=C1)CN2C(=NC3=C(C2=O)C=C(C=C3)NC(=O)C4CC4)C5CC5,1,1,1
644958,C1=CSC(=C1)C2=NC=C(O2)C3=CC=C(C=C3)Br,0,0,0
645084,CCN1C(=NN=C1SCC(=O)NC2=CC3=C(C=C2)OCCO3)COC4=CC=C(C=C4)C,0,1,0
645138,CCNC1=NC(=NC(=N1)N(C2=CC=CC=C2)C3=CC=CC=C3)N4CCOCC4,0,1,0
645190,CC1=CC=C(C=C1)N2C(=NN=C2SCC(=O)NC3=NC=CS3)CSC4=NC(=CC(=N4)C)C,0,1,0
645555,CC1=CC(=CC=C1)NC(=O)CSC2=NN=C(O2)C3=CC=CC=C3C,0,0,1
645763,CC1=CSC(=N1)NC(=O)CSC2=NN=C(N2C)C3=CC=NC=C3,0,1,0
646054,C1=CC=C2C(=C1)C(C3=CC=CC=C3O2)C(=O)NC4=NN=CS4,0,1,0
646081,CC1=CC=C(O1)C(=O)NC2=NC=C(S2)CC3=CC=C(C=C3)F,0,0,1
646487,CCOC(=O)C1=C2CCCN2C3=C1C=C(C=C3)O,1,0,0
646646,C1CN(CCN1C2=NC=C(C=C2)C(F)(F)F)C3=NC=NC4=C3N=NN4CC5=CC=CC=C5,0,1,0
646662,CCOC(=O)C1=C(NC(=C(C1C2=CC3=C(C=C(C=C3)C)NC2=O)C(=O)OCC)C)C,1,0,0
646754,COC1=CC=C(C=C1)N2C(=O)CC(C2=O)CC3=CC=CC=C3,0,1,0
646994,CC1=CC=C(C=C1)S(=O)(=O)N(CC2CCCO2)CC3=CC4=CC5=C(C=C4NC3=O)OCCO5,0,1,0
646999,CC1=CC=CC=C1C2=NC(=NO2)C3=CN=CC=C3,0,0,1
647009,CC(C)C(=O)NC1=C(C=C(C=C1)NC(=O)C2=CC3=C(C=C2)OCO3)OC,0,1,0
647195,CN(C)C1=CC=C(C=C1)NC(=O)NC2=CC3=C(C=C2)SN=N3,0,1,0
647227,CC1=CC=C(C=C1)OCC2=NN=C(N2CC3=CC=CO3)SCC(=O)NC4=CC5=C(C=C4)OCCO5,0,1,0
647724,CCCNS(=O)(=O)C1=CC=C(C=C1)OCC(=O)NCC2=CC3=C(C=C2)OCO3,0,1,0
648450,C1CCC2=C(C1)C3=C(O2)C=CC(=C3)OCC(=O)NC4=CC=CC=N4,0,1,0
648667,CC(=O)NC1=CC2=C(C=C1)N=C(N(C2=O)CC3=CC=C(C=C3)OC)C4CC4,1,1,1
649022,COC1=CC=CC=C1N(CC(=O)NC2CCCC2)C(=O)C3=CSN=N3,0,1,0
649298,CCCC(=O)NC1=CC(=CC=C1)NC(=O)C2=CC3=C(C=C2)OCO3,0,1,0
649319,CC1=CC(=NC=C1NC(=O)C2=CC=CO2)NC(=O)C3=CC(=CC=C3)F,0,0,1
649756,CC1=CC=C(C=C1)C(C(=O)NCC2=CC=CO2)N(CC3=CC=CO3)C(=O)CNC(=O)C4=CC=CO4,0,1,0
650073,C1COCCN1C(=O)NC2=CC3=C(C=C2)C4=CC=CC=C4O3,0,0,1
650408,CC1=CC2=NN(N=C2C=C1NC(=O)C3=CC=CS3)C4=CC=CC=C4,0,1,0
650970,CC1=CC(=C(C(=C1)C)NC(=O)CS(=O)CC(=O)NCC2CCCO2)C,1,0,0
651104,CC1CCC2=C(C1)SC(=N2)NC(=O)C3=C(N=CS3)C,0,1,1
651191,C1=CC=C(C=C1)C(=O)NC2C(=C(C(=O)O2)Cl)N3C=C(N=N3)CO,0,1,0
651319,C1CN(CC2=C1C(=C(N=C2NCC3=CC=CC=C3)NCCO)C#N)CC4=CC=CC=C4,0,0,1
651618,CCCOC(=O)NC1=CC=C(C=C1)N2CCCCC2,0,1,1
651952,C1CN(C2=CC=CC=C21)C(=O)CN3C(=O)COC4=CC=CC=C43,0,1,0
652350,COC1=C(C=C(C=C1)C(C(=O)NC2CCCC2)N(C3=CC4=C(C=C3)OCO4)C(=O)C5=CC=CO5)OC,0,1,0
652384,CN1C(=O)C2=CC=CC=C2C(=N1)CC(=O)NC3=CC4=C(CCC4)C=C3,0,1,0
652432,C1CCN(C1)S(=O)(=O)C2=CC=CC(=C2)S(=O)(=O)NCC3CC3,0,1,0
652581,CCOC(=O)C1CCN(CC1)CC2=C3C=CC=NC3=C(C=C2)O,0,1,1
652844,CCCCC1=CN=C(C=C1)C2=C(C=C(C=C2)C)O,1,1,1
652916,CCOC1=C(C=C(C=C1)C2=NN(N=N2)CC(=O)NC3=CC=CC=C3OC)OCC,0,1,0
652987,CS(=O)(=O)CC1=NC2=CC=CC=C2OC1=O,0,0,1
653203,CCOC1=CC=CC=C1NC(=O)N2C3CCCC2CC(C3)NC(=O)C4CC4,0,1,0
653891,CCC1=CC2=C(C=C1)OC(=N2)C3=C(C=CC(=C3)N)O,0,1,1
654110,CC(C)(C)NC(=O)COC1=CC=C(C=C1)CNN2C(=NN=N2)N,0,1,0
654688,CC(COC)NC(=O)CCS(=O)(=O)C1=NC(=CC(=N1)C(F)(F)F)C2=CC=C(C=C2)OC,0,1,0
654773,C1CC2=C(C(C3=C(O2)CCCC3=O)CC4=CC=CC=C4)C(=O)C1,0,1,0
654890,CC1=C(C(=CC=C1)NC(=O)C2CCCN(C2)C(=O)NC3=CC=CC=C3)C,0,1,0
654954,CC1=CC2=CC(=C(N=C2C=C1)SCC(=O)NCC3=CC=CO3)C#N,0,1,0
655365,CC1=CC=CC=C1C2=NN=C(O2)SCC(=O)NC3=CC(=CC(=C3)C)C,0,0,1
655561,CC1CCCN(C1)CC(=O)NC2=C(C=C(C=C2)NC(=O)C)Cl,0,1,1
655705,CCCCC(=O)NC1=NC=C(C=C1)NC(=O)C2=CC=CC=C2OC,0,1,0
656128,CCOC1=CC2=NC(=C(C=C2C=C1)C#N)SCC(=O)OC,0,0,1
657456,C1CN(CC2=C1C3=C(NN=C3N=C2NCC4=CC=CC=C4)N)CC5=CC=CC=C5,0,0,1
657472,CCOC(=O)C1=C(C2=C(N1)C=CC(=C2)C)N,0,1,1
657577,COC1=NC=CC(=C1C#N)NC2=CC=CC=C2,0,1,0
657663,C1CN(CC2=C1C(=C(N=C2NCC3=CC=CC=C3)NCCCO)C#N)CC4=CC=CC=C4,0,0,1
657803,CN1C(=CN=C1C2CC(=O)C3=C(O2)C=CC(=C3)Cl)Cl,0,0,1
658023,CCOC1=CC(=C(C=C1)C2C(=C(SC(=C2C#N)N)N)C#N)OCC,0,1,0
658096,CCOC(=O)CC(=O)CSC1=C(C=C2CCCCCC2=N1)C#N,0,1,1
658215,CCCCOC1=CC=C(C=C1)C2=NC=C(C(=N2)C)C(=O)O,0,1,1
658467,CN(C)C1=CC=CC2=C1C=CC=C2S(=O)(=O)N3CCOCC3,0,1,0
658591,C1=CC=C(C=C1)SC(=O)CNC2C3=CC=CC=C3NC2=O,0,1,0
658792,C1CC2=CC3=C(C4=C2N(C1)CCC4)OC(=O)C(=C3C(F)(F)F)CCN5CCOCC5,0,1,0
658835,CCOC(=O)CC1=NS(=O)(=O)C2=CC=CC=C2N1,0,1,0
658927,CC1=CC=C(C=C1)S(=O)(=O)NC(=O)NCC2=CC3=C(C=C2)OCO3,0,1,0
659062,CN(CC1=CC=CC=C1)CC2=CNC3=CC=CC=C32,1,0,0
659128,CCOC(=O)C1CCN(CC1)CC(=O)NC2=C(NC3=C2C=C(C=C3)Cl)C(=O)OC,1,0,0
659456,COCCCNC(=O)C1=C(N(C2=NC3=CC=CC=C3N=C12)CC4=CC=CC=C4)NC(=O)C5=CC=CO5,0,1,0
659636,CC(=O)C1=C2C(=C(C=C1)OC)C=CC=C2O,1,0,0
659827,COC1=CC=CC=C1OCC(=O)NC2=NN=C(S2)C3=CC=CO3,0,1,0
660188,CC1=C(C2=CC=CC=C2N1)C(=O)CN3CCCCC3CCO,0,1,0
660194,CCCCCCN1C2=C(N=C1NCC=C)N(C(=O)N(C2=O)C)C,1,0,1
660368,CCNC(=O)C1=CC2=C(N=C3C(=CC=CN3C2=O)C)N(C1=N)CCC4=CC=CC=C4,1,0,0
660707,CC(=O)NC1=CC=C(C=C1)C2=CC3=CC=CC=C3O2,0,0,1
660845,C1=CC=C2C(=C1)N=C3C(=C(N(C3=N2)CC4=CC=C(C=C4)F)N)C(=O)NCC5=CC=CO5,0,1,0
660914,CCCCSC1=C(C(=C(C(=N1)N)C#N)C2=CC=CS2)C#N,1,0,0
661032,COCCNC1=C2C=NN(C2=NC=N1)C3=CC=C(C=C3)Cl,0,0,1
661080,CC(C)OCCCNC1=C2C=NN(C2=NC=N1)C3=CC=CC=C3,0,0,1
661391,C1CC1C(=O)C2=C(C3=CC=CC=C3O2)NC(=O)CSCCC(=O)O,0,1,0
661430,CC1=CC(=NC(=C1C#N)OCC(=O)C2=CC=CC=C2)C,0,1,0
661547,CN1CCN(CC1)CC(=O)NC2=C(OC3=C2C=C(C=C3)Br)C(=O)OC,0,1,0
661729,CCOC(=O)C1=CC=C(C=C1)CC2C(=O)N/C(=C(/C#N)\C(=O)C)/S2,0,1,1
661751,CC(=NC1=CC=C(C=C1)O)C2=C(C3=CC=CC=C3S2)O,0,0,1
661782,CCOC(=O)CON1C2=CC=CC=C2[N+](=C(C1=O)C3=CC=CO3)[O-],0,1,0
661897,CCC1=CC=C(C=C1)C2=CN3C(=N2)N=C(C(=N3)C)C,1,0,0
661958,CCNC1=NC(=C(S1)C(=O)C2=CC=C(S2)Cl)N,0,0,1
661991,CC1=CC2=C(C(C(=C(O2)N)C#N)C3=CC4=C(C(=C3)OC)OCO4)C(=O)N1CCC5=CC=CC=C5,0,1,0
662285,CC1=CC=C(C=C1)CNC(=O)C2=CC3=C(N=C4C=CC=CN4C3=O)N(C2=N)CC5CCCO5,1,0,0
662433,CC1=CC(=C(C=C1)C)NC(=O)CSC2=NN=C(N2N)C3=CC=NC=C3,0,1,0
662731,CC1=CC=C(C=C1)N2C(C3=C(NN=C3C2=O)C)C4=CC=CO4,0,0,1
663373,CCOC(=O)C(C1=C2C(=C(C(=C1Br)O)O)C(=CO2)C(=O)C3=CC=C(C=C3)C)C(=O)C,0,1,1
